# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
9468,279286,9,0,3,0,0,0,0,0,0,0,0,0,0,2,1
9469,256013,0,0,4,0,0,0,4,0,0,0,3,0,0,1,1
9471,162900,21,0,0,0,0,2,0,0,0,0,0,0,0,2,1
9473,158268,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9475,228076,7,0,3,0,0,0,0,0,0,0,0,0,7,2,1
9476,442204,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9484,470076,60,0,9,0,0,0,8,0,0,0,0,0,0,2,1
9487,134988,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9488,223417,15,0,0,0,0,0,0,0,0,7,0,0,0,1,1
9490,265321,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9491,167571,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1
9492,1084550,0,55,0,0,7,0,0,0,0,1,0,0,0,2,1
9493,134988,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9494,470063,73,0,9,0,0,0,8,0,0,0,0,0,0,2,1
9495,321165,0,0,0,0,0,0,28,0,0,0,0,0,0,2,1
9496,390960,0,2,0,0,49,0,0,0,0,7,0,0,0,2,1
9497,232727,15,0,0,0,0,0,0,0,0,7,0,0,0,1,1
9498,237370,15,2,0,0,0,0,16,0,0,0,0,0,0,2,1
9499,711961,130,6,0,0,76,22,0,0,0,18,0,0,0,2,1
9500,283941,9,0,3,0,0,0,0,0,0,0,0,0,0,2,1
9501,167571,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1
9502,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9536,358409,14,0,0,0,0,0,9,2,0,0,0,0,0,1,1
9537,414274,2,0,18,0,0,0,0,0,0,0,0,0,0,1,1
9539,1051965,0,55,0,0,7,0,0,0,0,1,0,0,0,2,1
9540,130317,0,0,21,0,0,0,0,0,0,0,0,0,0,2,1
9577,256010,0,0,0,0,0,0,12,0,0,0,0,0,0,3,1
9578,228087,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1
9579,283933,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9580,763374,0,37,0,0,6,0,0,0,0,1,0,0,0,2,1
9583,256010,0,0,0,0,0,0,12,0,0,0,0,0,0,3,1
9584,1075240,0,55,0,0,7,0,0,0,0,1,0,0,0,2,1
9585,241990,0,13,0,19,0,8,0,6,0,11,0,0,0,13,1
9587,1061275,0,55,0,0,7,0,0,0,0,1,0,0,0,2,1
9588,311876,0,0,0,0,7,0,0,0,0,1,0,0,0,1,1
9589,432871,2,2,0,0,0,0,38,0,0,0,0,0,0,2,1
9590,260668,0,0,4,0,0,0,4,0,0,0,3,0,0,1,1
9591,316517,0,0,21,0,0,0,0,0,0,0,0,0,0,2,1
9592,279286,9,0,3,0,0,0,0,0,0,0,0,0,0,2,1
